Order_ID,Postal_Code,Longitude,Latitude
220,208577,103.8625834,1.3103
221,208600,103.8561304,1.3061
222,208674,103.8542553,1.3064
223,208767,103.8627364,1.3078
224,208801,103.8545977,1.3046
225,208810,103.8548767,1.3051
226,208852,103.856401,1.3067
227,208873,103.8563504,1.3073
228,208956,103.8587477,1.3111
229,208980,103.8596755,1.3117
230,208999,103.8595857,1.3132
231,209000,103.860335,1.3132
232,209084,103.8605889,1.311
233,209179,103.860792,1.3111
234,209272,103.8605253,1.3127
235,209297,103.8574989,1.3125
236,209304,103.8572964,1.3122
237,209306,103.85723,1.3121
238,209399,103.8533351,1.305
239,209420,103.853007,1.3053
240,209438,103.8527402,1.3056
241,209439,103.8526066,1.306
242,209460,103.8520486,1.3062
243,209462,103.8520151,1.3063
244,209569,103.8550523,1.3094
245,209579,103.8549515,1.309
246,209645,103.8552509,1.3091
247,209666,103.852145,1.3052
248,209692,103.8525723,1.3048
249,209733,103.852909,1.3068
250,209853,103.8616963,1.3109
251,210009,103.8514544,1.3139
252,210043,103.8494542,1.3153
253,217765,103.8536235,1.3136
254,217918,103.8544903,1.316
255,217977,103.8519005,1.3063
256,217991,103.852112,1.3067
257,218132,103.8564846,1.3129
258,218142,103.8570295,1.3135
259,218163,103.8577761,1.3151
260,218170,103.8574439,1.3141
261,218212,103.8584546,1.3153
262,218253,103.8485001,1.3116
263,218394,103.8538667,1.3151
264,218396,103.8538489,1.3152
265,218439,103.8534808,1.3167
266,218452,103.8529457,1.3176
267,218458,103.8523599,1.3178
268,218557,103.8508571,1.308
269,218571,103.8512819,1.3086
270,218604,103.8527821,1.3105
271,218685,103.8580237,1.3159
272,218692,103.8581503,1.316
273,218919,103.8530547,1.314
274,218929,103.8526346,1.3139
275,218934,103.8527704,1.3143
276,219309,103.8553243,1.3154
277,219380,103.8483144,1.3128
278,219593,103.8489535,1.3139
279,219642,103.8473048,1.3149
280,219679,103.847446,1.3132
281,219680,103.8474958,1.3137
282,219805,103.8505263,1.3071
283,219812,103.8503148,1.3072
284,219854,103.8493893,1.313
285,227982,103.8400861,1.3094
286,228029,103.8490691,1.3031
287,228119,103.8478563,1.3034
288,228231,103.8362252,1.3105
289,228644,103.8423063,1.3124
290,228646,103.8423092,1.3124
291,228750,103.8424247,1.3013
292,228913,103.8339589,1.3054
293,228937,103.8347148,1.3054
294,229016,103.8346467,1.3056
295,229017,103.8349331,1.306
296,229023,103.8350077,1.3057
297,229098,103.8429681,1.3133
298,229133,103.842644,1.3128
299,229188,103.8431182,1.3116
300,229664,103.8369945,1.3062
301,229687,103.8374622,1.3071
302,229774,103.839088,1.3077
303,229834,103.8472801,1.3072
304,229899,103.8466501,1.3104
305,229944,103.8391771,1.3105
306,238002,103.8403721,1.2933
307,238060,103.8427542,1.2939
308,238357,103.8349694,1.2955
309,238363,103.8342021,1.2947
310,238622,103.8408992,1.2986
311,238624,103.8407821,1.2985
312,238666,103.8407196,1.2977
313,238770,103.8421802,1.2972
314,238838,103.8462093,1.2992
